State,Year,Active Listing Count ,Avg Listing Price
 SD,2013,39649,237448.6486
 SD,2014,40883,251308.5586
 SD,2015,39311,272824.5495
 SD,2016,37650,280425.2252
 SD,2017,28748,283428.2282
 TN,2012,428204,229707.3759
 TN,2013,597213,237257.2143
 TN,2014,627289,243326.7143
 TN,2015,526038,259703.3546
 TN,2016,456110,279773.9407
 TN,2017,292762,301768.049
 TX,2012,960583,252205.3713
 TX,2013,1292766,269357.0057
 TX,2014,1237771,293684.5712
 TX,2015,1099378,322001.0293
 TX,2016,1165331,336718.9378
 TX,2017,914897,341433.5718
 UT,2012,134958,325106.048
 UT,2013,182982,345116.1723
 UT,2014,208794,367435.3814
 UT,2015,166505,406994.6639
 UT,2016,138135,443097.5895
 UT,2017,92629,483889.348
 VA,2012,410952,352416.9552
 VA,2013,597609,351944.1133
 VA,2014,631153,356737.2884
 VA,2015,578634,372917.4478
 VA,2016,517356,385305.6721
 VA,2017,355635,397627.7656
 VT,2012,56094,323426.589
 VT,2013,82785,329558.7571
 VT,2014,94626,323836.1582
 VT,2015,84998,329102.1893
 VT,2016,76400,341279.7316
 VT,2017,49047,357627.1186
 WA,2012,235945,371956.3131
 WA,2013,316821,384738.8047
 WA,2014,321680,400066.6386
 WA,2015,265537,442657.4074
 WA,2016,213946,485788.6925
 WA,2017,134510,531481.9678
 WI,2012,394779,223437.3247
 WI,2013,528317,225305.9201
 WI,2014,523620,233676.2667
 WI,2015,490863,240939.7168
 WI,2016,437491,248604.1203
 WI,2017,279074,263650.1856
 WV,2012,56881,196508.7698
 WV,2013,82385,197091.4191
 WV,2014,87453,203782.0132
 WV,2015,86163,211542.4536
 WV,2016,88564,218340.0641
 WV,2017,65609,219197.1154
 WY,2012,31375,386889.8649
 WY,2013,44243,386128.3784
 WY,2014,42066,417295.9459
 WY,2015,37127,419365.991
 WY,2016,42114,454888.7387
 WY,2017,31655,487109.009
